12LIBLEVY,$0.00
ARTS,$7,431,242.00
AUD,$1,148,312.00
CBLFEE,$8,180,656.00
CBO,$3,786,901.00
CEN,$34,836,689.00
CIV,$323,212.00
CJCS,$19,015,247.00
CPC,$0.00
CRS,$9,806,229.00
CWI,$0.00
DEBTSVC,$0.00
DOIT,$47,627,992.00
DON,$8,488,416.00
DPD,$47,044,766.00
DPR,$120,908,150.00
DPRLEVY,$1,191,800.00
EDLEVY,$17,874,660.00
ETH,$791,670.00
FAS,$140,111,488.00
FBRL,$0.00
FG,$374,920,452.00
SPU,$759,602,509.00
FISC-RSRV,$1,973,441.00
FPEN,$18,454,377.00
HSD,$111,588,379.00
HXM,$587,658.00
JC,$10,091,654.00
LAW,$18,735,653.00
LEG,$11,439,571.00
MO,$3,270,045.00
MUNIJAIL,$1,000,000.00
NMF,$2,513,296.00
OCR,$2,528,584.00
OED,$12,560,579.00
OH,$42,760,592.00
OIR,$1,885,947.00
OIRA,$132,646.00
OSE,$5,726,933.00
PCTF,$175,804,767.00
PER,$11,498,239.00
PGF,$7,715,000.00
PIKELEVY,$10,228,496.00
PPEN,$19,783,567.00
RET,$10,417,266.00
SCL,$1,003,140,723.00
SDOT,$342,186,034.00
SFD,$170,061,147.00
SMC,$26,654,316.00
SPD,$269,618,084.00
SPL,$50,871,295.00
STCAR,$670,732.00
SZF,$0.00
